zone_id,category,category_zh,side,sequence_index,sequence_role,required_seconds,raw_card_count,event_label,center_x_m,center_y_m,center_x_px,center_y_px,field_polygon_m
highland_red_low,highland,高地,red,1,low,5,1,过中央高地,8.9021,7.5481,743.009,637.87,"[[8.4569, 9.0519], [9.3537, 9.0465], [9.3476, 6.0439], [8.4503, 6.0501]]"
highland_red_high,highland,高地,red,2,high,5,1,过中央高地,10.8684,7.5472,907.127,637.941,"[[10.3582, 9.1109], [11.3845, 9.1048], [11.379, 5.9829], [10.3522, 5.99]]"
highland_blue_low,highland,高地,blue,1,low,5,1,过中央高地,19.0594,7.4709,1590.776,643.694,"[[18.609, 9.0149], [19.5117, 9.0096], [19.5099, 5.9265], [18.6068, 5.9327]]"
highland_blue_high,highland,高地,blue,2,high,5,1,过中央高地,17.1253,7.0834,1429.351,672.943,"[[16.6548, 9.0266], [17.5994, 9.0209], [17.5961, 5.1396], [16.651, 5.1464]]"
road_red_low,road,公路,red,1,low,3,1,台阶跨越,8.3671,2.1421,698.352,1045.863,"[[7.8444, 2.5339], [8.8914, 2.5254], [8.8898, 1.7502], [7.8427, 1.7589]]"
road_red_high,road,公路,red,2,high,3,1,台阶跨越,8.3654,1.3787,698.213,1103.48,"[[7.8427, 1.7589], [8.8898, 1.7502], [8.8882, 0.9983], [7.841, 1.0073]]"
road_blue_low,road,公路,blue,1,low,3,1,台阶跨越,19.6108,12.8885,1636.8,234.828,"[[19.106, 13.2903], [20.116, 13.2857], [20.1156, 12.4866], [19.1055, 12.4914]]"
road_blue_high,road,公路,blue,2,high,3,1,台阶跨越,19.6112,13.6756,1636.837,175.423,"[[19.1065, 14.0654], [20.1164, 14.0611], [20.116, 13.2857], [19.106, 13.2903]]"
fly_red_a,fly_ramp,飞坡,red,1,point_a,10,1,飞坡,10.6087,0.137,885.447,1197.188,"[[10.0638, 0.6356], [11.1554, 0.6262], [11.1536, 0.0], [10.0619, 0.0]]"
fly_red_b,fly_ramp,飞坡,red,2,point_b,10,1,飞坡,16.1626,0.0881,1349.0,1200.882,"[[15.5939, 0.5878], [16.7324, 0.5779], [16.7314, 0.0], [15.5928, 0.0]]"
fly_blue_a,fly_ramp,飞坡,blue,1,point_a,10,1,飞坡,11.7154,14.9174,977.814,81.702,"[[11.1819, 15.0], [12.2505, 15.0], [12.2489, 14.4232], [11.1801, 14.4277]]"
fly_blue_b,fly_ramp,飞坡,blue,2,point_b,10,1,飞坡,17.3364,14.8711,1446.966,85.198,"[[16.7683, 15.0], [17.9052, 15.0], [17.9044, 14.3993], [16.7674, 14.4041]]"
tunnel_red_end_a,tunnel,隧道,red,1,end,3,2,,9.4565,1.7572,789.279,1074.914,"[[8.9342, 2.5251], [9.9819, 2.5167], [9.9789, 0.989], [8.931, 0.998]]"
tunnel_red_middle,tunnel,隧道,red,2,middle,3,2,,14.897,1.1353,1243.365,1121.846,"[[14.3503, 1.5637], [15.4447, 1.5545], [15.4437, 0.7068], [14.3491, 0.7163]]"
tunnel_red_end_b,tunnel,隧道,red,3,end,3,2,,16.4101,3.8853,1369.656,914.307,"[[15.319, 4.1209], [16.6725, 5.1933], [17.5961, 5.1867], [17.5952, 4.1038], [15.9609, 2.3508], [15.3169, 2.356]]"
tunnel_blue_end_a,tunnel,隧道,blue,1,end,3,2,,11.4819,10.8587,958.329,388.02,"[[10.3651, 12.7446], [12.6526, 12.7337], [12.6492, 10.5993], [11.3845, 9.1048], [10.3582, 9.1109]]"
tunnel_blue_middle,tunnel,隧道,blue,2,middle,3,2,,13.0503,13.8807,1089.233,159.947,"[[12.5053, 14.2815], [13.5965, 14.2769], [13.5953, 13.4797], [12.504, 13.4846]]"
tunnel_blue_end_b,tunnel,隧道,blue,3,end,3,2,,18.5692,13.2809,1549.862,205.212,"[[18.0759, 14.0699], [19.0636, 14.0656], [19.0626, 12.4917], [18.0746, 12.4964]]"
